Iteration 1: size 100; ratio 0.19046581552481487; cond 7.801126511598929e+17
Iteration 2: size 200; ratio 0.1289019477484476; cond 3.0499523612339315e+17
Iteration 3: size 300; ratio 0.10780440640046172; cond 5.475384680381882e+18
Iteration 4: size 400; ratio 0.09730911850243724; cond 3.0984775388718305e+18
Iteration 5: size 500; ratio 0.08554480521805843; cond 6.955497720485012e+18
Iteration 6: size 600; ratio 0.08278054364852384; cond 1.4289436718714147e+19
Iteration 7: size 700; ratio 0.07394429243468434; cond 2.8728301551388923e+18
Iteration 8: size 800; ratio 0.0694291447760924; cond 5.0181331996389286e+19
Iteration 9: size 900; ratio 0.06580258003298517; cond 5.242355661459671e+18
Iteration 10: size 1000; ratio 0.06298383473844753; cond 2.032732843534579e+18
Iteration 11: size 1100; ratio 0.06015535150205845; cond 2.042899479474793e+19
Iteration 12: size 1200; ratio 0.0571620465399439; cond 8.005611686374002e+18
Iteration 13: size 1300; ratio 0.05556120277959291; cond 2.767504379137238e+19
Iteration 14: size 1400; ratio 0.05440698167572613; cond 4.1854415344007316e+18
Iteration 15: size 1500; ratio 0.05051504987394293; cond 3.652749197025431e+19
Iteration 16: size 1600; ratio 0.0500922735920596; cond 3.630193795564571e+18
Iteration 17: size 1700; ratio 0.048699617957202096; cond 6.419753668487046e+18
Iteration 18: size 1800; ratio 0.0471416129899767; cond 1.8085960346748955e+19
Iteration 19: size 1900; ratio 0.046279408792089805; cond 8.296980455694716e+18
Iteration 20: size 2000; ratio 0.044896178409668155; cond 1.0344576681171548e+19
Iteration 21: size 2100; ratio 0.043890651173230995; cond 8.180235837288377e+18
Iteration 22: size 2200; ratio 0.04293203404235879; cond 5.759083299897633e+18
Iteration 23: size 2300; ratio 0.04185683390524328; cond 4.3789443726074353e+18
Iteration 24: size 2400; ratio 0.041500477856461375; cond 3.0877823959764823e+18
Iteration 25: size 2500; ratio 0.04016876505011998; cond 1.6612514365620066e+19
Iteration 26: size 2600; ratio 0.039043588107872236; cond 3.7726380621782017e+24
Iteration 27: size 2700; ratio 0.03853551020934346; cond 2.680384205434322e+25
Iteration 28: size 2800; ratio 0.037808515235746756; cond 8.749498118689895e+26
Iteration 29: size 2900; ratio 0.03728731283410232; cond 4.2448370264011295e+26
Iteration 30: size 3000; ratio 0.0367234596816411; cond 6.0713121307364915e+26
Iteration 31: size 3100; ratio 0.036185565642282314; cond 3.4569627714387756e+24
Iteration 32: size 3200; ratio 0.035624329125414494; cond 2.1421655254775447e+28
Iteration 33: size 3300; ratio 0.034720276664296355; cond 6.84684787713699e+26
Iteration 34: size 3400; ratio 0.03435794238643589; cond 8.066532792001432e+24
Iteration 35: size 3500; ratio 0.03419013475098356; cond 1.1251046263799347e+25
Iteration 36: size 3600; ratio 0.0329598977816166; cond 2.2386503938466406e+29
Iteration 37: size 3700; ratio 0.03311086039094455; cond 1.492813673418153e+25
Iteration 38: size 3800; ratio 0.03218688165894557; cond 4.833800297158077e+30
Iteration 39: size 3900; ratio 0.03237191812550546; cond 1.2305254026358935e+28
Iteration 40: size 4000; ratio 0.03200376778928461; cond 3.8480577273622875e+26
Iteration 41: size 4100; ratio 0.03134174309764997; cond 1.3164062650471478e+27
Iteration 42: size 4200; ratio 0.03136232125615676; cond 4.571587796962694e+26
Iteration 43: size 4300; ratio 0.030516577757126934; cond 1.2532921910219346e+29
Iteration 44: size 4400; ratio 0.03038391597323001; cond 3.7427826750309107e+25
Iteration 45: size 4500; ratio 0.030246557764910944; cond 1.3994096941962547e+28
Iteration 46: size 4600; ratio 0.02977433887513274; cond 1.2947442223101852e+27
Iteration 47: size 4700; ratio 0.029510198247123552; cond 3.219835300722492e+30
Iteration 48: size 4800; ratio 0.029224398597835086; cond 3.28827153293703e+26
Iteration 49: size 4900; ratio 0.029050590447618083; cond 3.970968659436383e+29
Iteration 50: size 5000; ratio 0.028746162766561317; cond 2.5254069582684714e+32
Iteration 51: size 5100; ratio 0.028196816125585045; cond 6.874535015750681e+30
Iteration 52: size 5200; ratio 0.028137309577774036; cond 2.5835068011743415e+32
Iteration 53: size 5300; ratio 0.027686885655703354; cond 5.55092722729514e+33
Iteration 54: size 5400; ratio 0.027362858424979274; cond 6.785468611301948e+31
Iteration 55: size 5500; ratio 0.027233695886313396; cond 1.3541687166496213e+33
Iteration 56: size 5600; ratio 0.026792497353330686; cond 5.147715472217197e+31
Iteration 57: size 5700; ratio 0.02676274464563777; cond 3.6301682250005073e+31
Iteration 58: size 5800; ratio 0.02661121659433063; cond 3.0933583807955797e+32
Iteration 59: size 5900; ratio 0.026462279906452942; cond 3.615359401834707e+31
Iteration 60: size 6000; ratio 0.026262141341727867; cond 4.561339885999253e+31
Iteration 61: size 6100; ratio 0.02600927249036706; cond 7.197571351719029e+31
Iteration 62: size 6200; ratio 0.025748796013576724; cond 1.5551986212929637e+31
Iteration 63: size 6300; ratio 0.025511684835470172; cond 6.772857548215789e+31
Iteration 64: size 6400; ratio 0.025230039473290947; cond 1.6830372685576056e+32
Iteration 65: size 6500; ratio 0.025167231249396654; cond 4.422393423425802e+31
Iteration 66: size 6600; ratio 0.02501507503491856; cond 1.0846941298148073e+32
Iteration 67: size 6700; ratio 0.02468990041299879; cond 2.819121572954285e+31
Iteration 68: size 6800; ratio 0.024632541443021905; cond 6.640247573641016e+31
Iteration 69: size 6900; ratio 0.024258078115356945; cond 9.247772887977034e+31
Iteration 70: size 7000; ratio 0.024231426516810185; cond 1.674226466553948e+32
Iteration 71: size 7100; ratio 0.024113724383711448; cond 1.5087427981376975e+31
Iteration 72: size 7200; ratio 0.023895451136922062; cond 1.9640724796766478e+32
Iteration 73: size 7300; ratio 0.023757658910286663; cond 3.2238262661247777e+31
Iteration 74: size 7400; ratio 0.02354196616687702; cond 3.9133362475785786e+31
Iteration 75: size 7500; ratio 0.023303677769061372; cond 7.40482750858178e+32
Iteration 76: size 7600; ratio 0.023304166516775037; cond 2.221640322196493e+31
Iteration 77: size 7700; ratio 0.02315423759766899; cond 2.2236852918204307e+32
Iteration 78: size 7800; ratio 0.023000049284627684; cond 1.0665364618171905e+32
Iteration 79: size 7900; ratio 0.022828255908444676; cond 2.3414707270120624e+33
Iteration 80: size 8000; ratio 0.02265135780431265; cond 4.162627575138461e+31
Iteration 81: size 8100; ratio 0.022522385311660866; cond 3.4628344954123496e+31
Iteration 82: size 8200; ratio 0.022445583419305103; cond 5.671986011999757e+32
Iteration 83: size 8300; ratio 0.022099585323830856; cond 6.043154671552849e+31
Iteration 84: size 8400; ratio 0.022205296807734972; cond 1.9161275825634783e+33
Iteration 85: size 8500; ratio 0.022087349553018915; cond 2.565904553620367e+32
Iteration 86: size 8600; ratio 0.02174433312195676; cond 1.9200233399473986e+32
Iteration 87: size 8700; ratio 0.021889147265509463; cond 1.5498130097150937e+32
Iteration 88: size 8800; ratio 0.021679644102154057; cond 1.129641168624873e+32
Iteration 89: size 8900; ratio 0.02148595830512947; cond 2.3543769445235927e+31
Iteration 90: size 9000; ratio 0.021373340547663797; cond 3.8764698781566063e+33
Iteration 91: size 9100; ratio 0.02128183779798327; cond 6.100787264164618e+31
Iteration 92: size 9200; ratio 0.02128064123009354; cond 4.325135374644474e+31
Iteration 93: size 9300; ratio 0.02112311118500196; cond 6.075239347234779e+31
Iteration 94: size 9400; ratio 0.020797333479412164; cond 9.184754956659433e+32
Iteration 95: size 9500; ratio 0.020942209127322364; cond 3.274908901285934e+32
Iteration 96: size 9600; ratio 0.02075082470200709; cond 5.068281028892315e+32
Iteration 97: size 9700; ratio 0.02067063251915919; cond 2.3066268666797185e+32
Iteration 98: size 9800; ratio 0.02058845850642082; cond 1.2392633211828506e+32
Iteration 99: size 9900; ratio 0.02011177025805068; cond 1.4756808649336158e+32
Iteration 100: size 10000; ratio 0.0202801014307281; cond 2.568266539918941e+32
